"","bivalve_ID","Date","shelf","tank","experiment_stage","timepoint","treatment","epf_ph","discolored","TankID","DateWC","PCO2","Sal_Corr","pH","Temp","Collection_Code","pHadj","day_code","day_coden"
"161",17207,2017-06-06,2,1,"exposure","Experiment_3","400",7.571149175,"no",4,2017-06-06,400,30.29103122,7.835514019,17.8,"RRR",-0.264364843999999,28,28
"162",17208,2017-08-22,5,2,"exposure","Experiment_7","900",7.189844201,"no",14,2017-08-21,900,31.22782979,7.563197026,19,"RSI",-0.373352825,105,105
"163",17209,2017-05-09,3,3,"acclimation","Acclimation_1","acclimation",7.319391537,"no",9,2017-05-08,900,29.95577966,7.80075188,16.2,"ILIV",-0.481360343,0,0
"164",17210,2017-07-24,6,2,"exposure","Experiment_6","2800",6.815738964,"no",17,2017-07-24,2800,30.74333033,7.011428571,19.1,"ILIV",-0.195689606999999,76,76
"165",17211,2017-08-22,2,2,"exposure","Experiment_7","400",7.709174841,"no",5,2017-08-21,400,31.22782979,7.842007435,19.4,"RSI",-0.132832594,105,105
"166",17212,2017-06-05,5,3,"exposure","Experiment_2","900",7.529749463,"no",15,2017-06-05,900,30.52271327,7.545966229,18.1,"ILIV",-0.0162167660000003,27,27
"167",17213,2017-08-22,4,1,"exposure","Experiment_7","2800",6.872475476,"no",10,2017-08-21,2800,31.26162614,7.06133829,18.9,"ILIV",-0.188862814,105,105
"168",17215,2017-06-05,3,2,"exposure","Experiment_2","900",8.214968877,"no",8,2017-06-05,900,30.52271327,7.495309568,17.4,"RRR",0.719659309000001,27,27
"169",17217,2017-06-05,1,1,"exposure","Experiment_2","400",7.403070244,"no",1,2017-06-05,400,30.42063061,7.82739212,18.2,"RSI",-0.424321876,27,27
"170",17218,2017-07-24,5,3,"exposure","Experiment_6","900",7.650671785,"no",15,2017-07-24,900,30.54304805,7.531428571,18.9,"RSI",0.119243214,76,76
"171",17220,2017-06-06,1,2,"exposure","Experiment_3","400",7.679461268,"no",2,2017-06-06,400,30.12312085,7.796261682,17.1,"ILIV",-0.116800414,28,28
"172",17221,2017-05-09,4,2,"acclimation","Acclimation_1","acclimation",7.553231353,"no",11,2017-05-08,2800,29.95577966,7.806390977,17.3,"RRR",-0.253159624,0,0
"173",17222,2017-06-26,6,3,"exposure","Experiment_5","2800",7.063218391,"no",18,2017-06-26,2800,31.312833,7.463687151,16.6,"RRR",-0.40046876,48,48
