"RNA17005" "RNA17007" "RNA17013" "RNA17019" "RNA17069" "RNA17070" "RNA17072" "RNA17079" "RNA17090" "RNA17094" "RNA17099" "RNA17108" "RNA17122" "RNA17130" "RNA17142" "RNA17145" "RNA17162" "RNA17174" "RNA17176" "RNA17178" "RNA17181" "RNA17203" "RNA17211" "RNA17213"
"LOC111099082" 0 2 0 0 0 2 1 1 1 0 1 1 1 0 1 3 0 2 0 0 1 0 4 0
"LOC111099083" 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 2 0 0 0
"LOC111099084" 1 0 0 0 0 2 0 0 1 0 1 0 0 2 0 0 1 1 0 0 0 0 0 0
"LOC111099085" 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 14 0 0 0 0
"LOC111099086" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099087" 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0
"LOC111099088" 26 36 10 40 16 14 20 43 14 6 10 8 11 22 11 12 19 42 2 11 9 17 11 34
"LOC111099089" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099090" 12 49 39 7 15 44 15 27 12 26 37 11 31 28 21 20 19 50 9 20 7 12 30 48
"LOC111099091" 0 0 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 1 1 0 0 1 1 0
"LOC111099092" 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 3 0 0 0 1 0 0
"LOC111099093" 5 0 3 0 1 3 2 10 1 4 2 2 4 2 3 2 3 3 2 2 6 9 0 2
"LOC111099094" 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0
"LOC111099095" 3 8 3 4 4 11 3 3 1 1 5 3 0 1 1 8 4 10 9 3 1 4 1 0
"LOC111099096" 0 7 1 3 0 1 3 3 1 4 1 2 3 1 7 1 1 2 1 8 1 9 5 8
"LOC111099097" 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LOC111099098" 2 0 1 1 0 2 0 0 1 3 0 1 0 2 0 1 2 0 0 5 0 0 0 0
"LOC111099099" 0 3 0 0 0 0 1 0 1 0 1 0 0 9 0 0 0 1 0 0 0 3 0 0
"LOC111099100" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
"LOC111099101" 17 14 9 4 36 20 9 4 4 8 6 9 19 8 9 15 17 23 11 16 8 15 29 13
"LOC111099102" 2 6 1 5 56 3 3 2 6 4 5 3 3 1 4 18 1 51 3 31 3 1 3 23
"LOC111099103" 10 5 19 3 12 2 3 0 3 4 4 4 9 2 5 5 0 5 5 2 3 3 7 8
"LOC111099104" 22 5 18 5 11 8 5 4 3 2 12 5 4 4 3 4 3 7 22 2 4 9 14 9
"LOC111099105" 1 0 6 6 15 14 1 6 2 5 2 3 5 2 1 2 1 4 6 5 0 13 4 4
"LOC111099106" 0 0 0 6 3 0 2 0 0 4 1 0 1 0 1 0 0 0 0 0 0 0 0 3
"LOC111099107" 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0
"LOC111099108" 0 2 3 5 1 6 1 2 2 0 0 2 1 3 3 4 1 6 3 1 2 1 1 7
"LOC111099109" 3 3 2 3 12 4 5 2 4 7 2 1 3 4 3 5 2 2 3 0 5 1 5 6
"LOC111099110" 0 0 1 0 0 0 0 3 0 0 0 0 2 0 2 0 0 1 0 0 0 0 2 1
"LOC111099111" 0 0 1 1 0 4 1 2 2 0 0 0 0 0 0 1 0 3 0 1 0 0 1 0
"LOC111099112" 5 3 7 13 4 0 3 0 5 2 1 3 8 1 1 4 2 12 3 1 0 3 2 0
"LOC111099113" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
