"","RNA17005","RNA17007","RNA17013","RNA17019","RNA17069","RNA17070","RNA17072","RNA17079","RNA17090","RNA17094","RNA17099","RNA17108","RNA17122","RNA17130","RNA17142","RNA17145","RNA17162","RNA17174","RNA17176","RNA17178","RNA17181","RNA17203","RNA17211","RNA17213"
"LOC111099471",4.90689059560852,5.6724253419715,4.58496250072116,4.95419631038687,4.75488750216347,4.75488750216347,3.90689059560852,4,4.52356195605701,4.8073549220576,4.8073549220576,3.70043971814109,4,4,4,3,4.32192809488736,5.12928301694497,4.90689059560852,4.08746284125034,4.32192809488736,4.16992500144231,4,5.20945336562895
"LOC111099478",5.88264304936184,4.95419631038687,4.24792751344359,4.8073549220576,4.4594316186373,3.32192809488736,5.39231742277876,4.95419631038687,4.70043971814109,4.58496250072116,4.75488750216347,5.04439411935845,4.16992500144231,4.16992500144231,3.4594316186373,4.90689059560852,5.24792751344359,5.49185309632967,5.95419631038687,5.24792751344359,3.90689059560852,5.16992500144231,4.8073549220576,6.59991284218713
"LOC111099479",5,4.64385618977472,4.58496250072116,4.16992500144231,4,4,4.24792751344359,4.32192809488736,4.52356195605701,3.90689059560852,4.75488750216347,4.16992500144231,2.32192809488736,5,3.90689059560852,4.16992500144231,4,4.58496250072116,4.4594316186373,4.08746284125034,4.32192809488736,4.85798099512757,4.4594316186373,4.52356195605701
"LOC111099483",3.4594316186373,4.8073549220576,4.08746284125034,3,4.52356195605701,2.8073549220576,3.70043971814109,3.70043971814109,4.39231742277876,3.58496250072116,4.64385618977472,3.70043971814109,3.70043971814109,3.90689059560852,3.8073549220576,3.32192809488736,3.70043971814109,4.90689059560852,2,3.32192809488736,3.90689059560852,4.90689059560852,4.39231742277876,4.58496250072116
"LOC111099511",0,2.32192809488736,0,2.32192809488736,1.58496250072116,1,3.32192809488736,2.32192809488736,1,2.8073549220576,2,1,2,2.58496250072116,1.58496250072116,3.16992500144231,2.32192809488736,3.4594316186373,1,0,1.58496250072116,1.58496250072116,1,1.58496250072116
"LOC111099523",2,2.8073549220576,3.58496250072116,3,2.8073549220576,3,3.90689059560852,2.8073549220576,2.8073549220576,2.32192809488736,2.8073549220576,3,2.8073549220576,3,3.32192809488736,1.58496250072116,3,2.58496250072116,3.16992500144231,1.58496250072116,1.58496250072116,3.70043971814109,1,3.8073549220576
"LOC111099524",3.32192809488736,3,4.39231742277876,4.08746284125034,4.8073549220576,5.58496250072116,6.2667865406949,5.20945336562895,2.58496250072116,4.95419631038687,4.58496250072116,3.90689059560852,2.8073549220576,4.08746284125034,3,3,6.2667865406949,5.55458885167764,3.58496250072116,4.32192809488736,3.4594316186373,3.32192809488736,4.64385618977472,3
"LOC111099548",1,3.70043971814109,3.16992500144231,2,2.58496250072116,1.58496250072116,2.8073549220576,2.58496250072116,3,2.58496250072116,3.16992500144231,2,8.40514146313634,2,2.58496250072116,3.4594316186373,2,2,3,2.58496250072116,1,2.32192809488736,3,2.32192809488736
"LOC111099557",1,1.58496250072116,1.58496250072116,0,3.32192809488736,0,2.32192809488736,1.58496250072116,1.58496250072116,1.58496250072116,2,2.32192809488736,2.32192809488736,1.58496250072116,2,0,2.8073549220576,2,1,2.32192809488736,1,2,0,2.8073549220576
"LOC111099580",4.32192809488736,2.58496250072116,2.32192809488736,2.58496250072116,2.32192809488736,2.8073549220576,2.8073549220576,2.58496250072116,2.32192809488736,3.4594316186373,3.32192809488736,2,3.70043971814109,0,3.58496250072116,1.58496250072116,2.32192809488736,3.58496250072116,3.58496250072116,1.58496250072116,2,2.8073549220576,2.8073549220576,3.8073549220576
"LOC111099585",2.32192809488736,3.90689059560852,4.75488750216347,2,4.39231742277876,4.4594316186373,3.70043971814109,4.08746284125034,4.4594316186373,4.39231742277876,4.16992500144231,4.85798099512757,4.75488750216347,3.90689059560852,4.08746284125034,3,4,4.58496250072116,3.90689059560852,3.32192809488736,3.58496250072116,3.8073549220576,2.58496250072116,4.70043971814109
"LOC111099592",3,3.58496250072116,3.70043971814109,3,2.58496250072116,2,2,2,3.70043971814109,3,1,3.16992500144231,2.32192809488736,3.16992500144231,3,4.39231742277876,3.58496250072116,3.4594316186373,3.4594316186373,1,2.58496250072116,4.8073549220576,4,2
"LOC111099593",1.58496250072116,2.58496250072116,0,1.58496250072116,4.08746284125034,1,2.8073549220576,1,1,2,2,2.32192809488736,2,1,0,1.58496250072116,2,2.32192809488736,2,2,0,3.8073549220576,3,3
"LOC111099603",5.4594316186373,2.8073549220576,4.52356195605701,4.85798099512757,4.8073549220576,4,5.16992500144231,3.58496250072116,4.58496250072116,4.8073549220576,4.8073549220576,6.78135971352466,5.12928301694497,6.61470984411521,3.8073549220576,4.08746284125034,3.4594316186373,5.64385618977472,3.8073549220576,3.8073549220576,4.24792751344359,6.16992500144231,4.52356195605701,4.24792751344359
"LOC111099610",3.4594316186373,4,2.58496250072116,2.8073549220576,3.58496250072116,4,2.32192809488736,2.8073549220576,2.32192809488736,2.8073549220576,2.8073549220576,3.8073549220576,2.32192809488736,2.32192809488736,2,3.16992500144231,1.58496250072116,3.32192809488736,3,3.32192809488736,2,3.8073549220576,2.58496250072116,3.58496250072116
"LOC111099611",0,2.32192809488736,2.32192809488736,2,2.8073549220576,0,1,1,1,1,3,2,0,1,1.58496250072116,2.32192809488736,1,2,2.32192809488736,1.58496250072116,0,1.58496250072116,1,2
"LOC111099629",5.39231742277876,4.90689059560852,5.04439411935845,5.61470984411521,3.70043971814109,6.4594316186373,3.32192809488736,4.4594316186373,3.70043971814109,2.58496250072116,3.8073549220576,6.14974711950468,3.70043971814109,5.97727992349992,3.58496250072116,7.15987133677839,1.58496250072116,5.58496250072116,5.70043971814109,2.58496250072116,4.64385618977472,5.4594316186373,3.32192809488736,0
"LOC111099631",6.79441586635011,5.75488750216347,5.12928301694497,3.58496250072116,6.78135971352466,3.90689059560852,2.58496250072116,4.70043971814109,4.08746284125034,4.8073549220576,6.18982455888002,3.8073549220576,3.70043971814109,4.16992500144231,4.08746284125034,5.32192809488736,4,5.32192809488736,4.52356195605701,4.58496250072116,3,5.75488750216347,4.95419631038687,5.6724253419715
"LOC111099677",2,3.32192809488736,1.58496250072116,1,3.16992500144231,3.32192809488736,2.32192809488736,3.4594316186373,2.8073549220576,2,1,3.16992500144231,3.70043971814109,1,0,0,2.58496250072116,3.90689059560852,3,1,1.58496250072116,0,1.58496250072116,4
"LOC111099692",2.32192809488736,3.90689059560852,2.58496250072116,4.08746284125034,3.16992500144231,2.8073549220576,3.16992500144231,2.32192809488736,3.16992500144231,2.32192809488736,3.32192809488736,3,3.90689059560852,2.32192809488736,3.32192809488736,2,3,4.16992500144231,3.70043971814109,2.8073549220576,3.58496250072116,4.16992500144231,3.70043971814109,4.39231742277876
"LOC111099693",4.16992500144231,5.08746284125034,4.58496250072116,4.58496250072116,4.32192809488736,4.4594316186373,4.08746284125034,4.08746284125034,4.70043971814109,3.58496250072116,4.85798099512757,4.90689059560852,5.16992500144231,4.4594316186373,4.24792751344359,4.70043971814109,3.8073549220576,5.24792751344359,4.39231742277876,4.08746284125034,3.4594316186373,4.16992500144231,4,4.70043971814109
