ID,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,sample_date,buoyant_start,bw1_start_asDate,buoyant_2,date_bw2_asDate,Day_BW1_BW2,buoyant_3,date_buoyant_3,Day_BW_BW3,dry_end_meas
17002,400,2329.53,2437.2,590.67,2.86,7.83,20170509,28.923667,05/06/17,NA,NA,NA,NA,NA,NA,49.89
17009,2800,2622.52,2522.02,2555.7,1.13,7.23,20170509,37.167667,05/04/17,NA,NA,NA,NA,NA,NA,63.85
17014,900,2441,2468.42,865.45,2.15,7.62,20170509,37.192333,05/06/17,NA,NA,NA,NA,NA,NA,65.54
17016,900,2439.9,2459.91,936.56,2.02,7.62,20170509,39.398333,05/05/17,NA,NA,NA,NA,NA,NA,72.18
17018,400,2377.12,2484.38,574.36,2.93,7.84,20170509,16.632,05/05/17,NA,NA,NA,NA,NA,NA,28.34
17035,900,2441.67,2467.77,890.65,2.12,7.62,20170509,22.055667,05/05/17,NA,NA,NA,NA,NA,NA,37.56
17047,2800,2616.63,2523.13,2423.47,1.17,7.24,20170509,18.373333,05/04/17,NA,NA,NA,NA,NA,NA,30.27
17060,400,2388.7,2486.18,535.06,3.1,7.84,20170509,28.299,05/05/17,NA,NA,NA,NA,NA,NA,48.58
17063,2800,2612.89,2488.3,2516.92,1.01,7.22,20170509,27.798333,05/05/17,NA,NA,NA,NA,NA,NA,49.12
17067,400,2359.13,2470.99,545.47,2.98,7.83,20170509,17.092,05/04/17,NA,NA,NA,NA,NA,NA,29.76
17092,900,2453.26,2468.16,943.47,2.01,7.59,20170509,26.814,05/05/17,NA,NA,NA,NA,NA,NA,44.92
17103,900,2449.19,2464.79,904.6,2.08,7.59,20170509,19.045,05/06/17,NA,NA,NA,NA,NA,NA,33.56
17112,400,2404.69,2506.24,576.45,2.97,7.83,20170509,39.159667,05/05/17,NA,NA,NA,NA,NA,NA,69.01
17149,2800,2587.92,2497.79,2378.18,1.08,7.23,20170509,10.55625,05/04/17,NA,NA,NA,NA,NA,NA,19.44
17185,400,2348.8,2454.04,519.42,3.1,7.83,20170509,24.719667,05/05/17,NA,NA,NA,NA,NA,NA,41.84
17192,2800,2608.91,2522.06,2346.38,1.21,7.23,20170509,26.326667,05/05/17,NA,NA,NA,NA,NA,NA,45.86
17209,900,2442.18,2466.7,908.54,2.07,7.59,20170509,22.068667,05/04/17,NA,NA,NA,NA,NA,NA,33.13
17221,2800,2601.68,2504.96,2527.05,1.02,7.22,20170509,33.468,05/06/17,NA,NA,NA,NA,NA,NA,56.08
17003,2800,2601.68,2504.96,2527.05,1.02,7.22,20170517,24.295667,05/05/17,NA,NA,NA,NA,NA,NA,40.89
17006,900,2449.19,2464.79,904.6,2.08,7.59,20170517,23.424333,05/05/17,NA,NA,NA,NA,NA,NA,40.56
17017,400,2404.69,2506.24,576.45,2.97,7.83,20170517,21.787667,05/06/17,NA,NA,NA,NA,NA,NA,38.97
17025,2800,2587.92,2497.79,2378.18,1.08,7.23,20170517,22.595,05/06/17,NA,NA,NA,NA,NA,NA,38.56
17034,900,2439.9,2459.91,936.56,2.02,7.62,20170517,23.217,05/05/17,NA,NA,NA,NA,NA,NA,41.66
